Title,Price,Link,Description,Main image
Pearl Candle - Minimalist Candle,14.9,https://moiandko.com/products/pearl-candle-minimalist-candle,"Elegance and minimalism. The design of our Pearl candle makes it perfect for decorating any space in your home, especially centerpieces.Handcrafted with high-quality soy wax by Moiandko in Spain.Dimensions8 cm x 6 cm",//moiandko.com/cdn/shop/files/9pearl_candle_moiandko.jpg?v=1709670753&width=1090
Cookie Cake Soy Candle - Kawaii Collection,28,https://moiandko.com/products/cookie-cake-soy-candle-kawaii-collection,"Introducing a newcookie cake candle in our Kawaii Collection. Hand-made with 100% natural soy wax, it's perfect for decorating and capturing adorable photos. Embrace its kawaii-inspired design and let it bring joy to any space. Treat yourself or surprise someone special with this precious candle that exudes warmth and visual appeal.Each cake is unique, they are handmade individually, so the final color and the position of the little details may vary.Our Kawaii Collection is inspired in the culture of cuteness in Japan.kawaii/kəˈwʌɪ/ in Japanese popular culture) the quality of being cute, or items that are cute.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches- Aroma of Honey and sweet almond☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight: 145gr* Material: 100% ecosoy wax* Color:pastels*Size: 10 x 7 cm",//moiandko.com/cdn/shop/files/cookie_cake_candle_moiandko5.jpg?v=1687969462&width=1090
Special Valentines Fluffy Teddy Bear Soy Candle - Kawaii Collection,16.5,https://moiandko.com/products/special-valentines-fluffy-teddy-bear-soy-candle-kawaii-collection,"Special Valentine's DayOur cute Fluffy Teddy Bear now in our favorite baby pink blush color, limited edition for Valentine's Day!Eyes and noise hand painted with candle safe and eco paint.kawaii/kəˈwʌɪ/ in Japanese popular culture) the quality of being cute, or items that are cute.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight: 145gr* Material: 100% ecosoy wax* Color: Creamy, Latte and Moka*Size: 10 x 7 cm",//moiandko.com/cdn/shop/products/valentines_teddy_bear_soy_candle5.jpg?v=1674822435&width=1090
Teddy Family Cake Soy Candle - Kawaii Collection,28,https://moiandko.com/products/teddy-family-cake-soy-candle-kawaii-collection,"Our Kawaii collection grows with our most cute teddy family cake! Handmade with 100% soy wax with a lovely aroma of honey and sweet almond. Each cake is unique, they are hand-made individually, so the final color and the position of the little details may vary.Our Kawaii Collection is inspired in the culture of cuteness in Japan.kawaii/kəˈwʌɪ/ in Japanese popular culture) the quality of being cute, or items that are cute.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches- Aroma of Honey and sweet almond☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight: 145gr* Material: 100% ecosoy wax* Color:pastels*Size: 10 x 7 cm",//moiandko.com/cdn/shop/products/kawaii_teddy_soy_cake_1.jpg?v=1674818818&width=1090
Sphere Decorative Soy Candle,15,https://moiandko.com/products/sphere-decorative-soy-candle,"Classical, timeless.﻿New in our sculptural candle collection, the elegant Sphere soy candles available in two sizes. Large and Medium.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight L: 240gr* Weight M: 159gr* Material: 100% ecosoy wax* Color: Creamy *Size L: 8x 8 cm*Size M: 7 x 7 cm",//moiandko.com/cdn/shop/products/sphere_soyboth23_candle.jpg?v=1670847866&width=1090
Fluffy Teddy Bear Soy Candle - Kawaii Collection,14.5,https://moiandko.com/products/fluffy-teddy-bear-soy-candle-kawaii-collection,"Introducing Fluffy Teddy Bear,our first candlein the new Kawaii Collection inspired in the culture of cuteness in Japan.Available in three colors: creamy, moka,Latte. Eyes and noise hand painted.kawaii/kəˈwʌɪ/ in Japanese popular culture) the quality of being cute, or items that are cute.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight: 145gr* Material: 100% ecosoy wax* Color: Creamy, Latte and Moka*Size: 10 x 7 cm",//moiandko.com/cdn/shop/files/7nude-little_bear_candlemoiandko.jpg?v=1685630929&width=1090
Heart soy candle,16,https://moiandko.com/products/heart-candle,"Beautiful and unique heart design. Perfect to gift a loved ones!Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weigh: 179gr* Material: 100% ecosoy wax* Color: Creamy*Size: 10 x 4 x 7 cm",//moiandko.com/cdn/shop/products/heart_candle_nude_moiandko.jpg?v=1669402716&width=1090
Eris and Ceres pillar candle,19,https://moiandko.com/products/eris-and-ceres-pillar-candle,"Classic, timeless, romantic, minimalist. They look incredibly beautiful in almost every kind of home decor. Absolutely gorgeous.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weight Large: 600gr* Weight Medium: 351gr* Material: 100% ecosoy wax * Color: Creamy, nude and grey* Eris: 20 x 7 cm* Ceres:12.5 x 7 cm",//moiandko.com/cdn/shop/products/pillar_candle_moiandko.jpg?v=1667589900&width=1090
House Candle Collection,12,https://moiandko.com/products/house-candle-collection-christmas-edition,"Our house candles are timeless but they look especially beautiful to decor your table setting on Christmas! Available in two sizes.Our candles are individually hand-poured in small batches with a high quality soy wax.☆ Description☆- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches☆More☆We use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle.☆Dimensions☆* Weigh S: 175gr* Weigh M: 230gr* Material: 100% ecosoy wax* Color: Creamy* Size Big: 12 x 5.5 cm* Size Medium: 8 x 5.5 cm",//moiandko.com/cdn/shop/products/Nude3_Christmas_house_candle_moiandko.jpg?v=1668249370&width=1090
Birthgift,3,https://moiandko.com/products/birthgift,"The most cute gift for a new baby birth!Our candles are handmade with 100% eco soy wax without additives and any allergic ingredient. Packaging available for an extra 0,6/unit.Recycled paper bag with a customized name card. ☆ H O W T O O R D E R ☆Fill our contact form for more information or to order them! ☆S H I P P I N G ☆Shipping to EU is included for orders over100.Processing time 15-20 business days, shipped with UPS (delivery time 3-4 business days)",//moiandko.com/cdn/shop/products/little_clouds_birthborn.jpg?v=1662721628&width=1090
